track_id,duration_ms,explicit,name,track_number,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
2v0fKNEQwzUuol9VImFuOu,122893,False,Sgt. Pepper's Lonely Hearts Club Band - Remastered,1,0.0857,0.451,0.673,0.00225,7,0.797,-9.115,1,0.0734,95.513,4,0.583
0TKiASulg0H5ZKkkqZNTdm,164106,False,With A Little Help From My Friends - Remastered,2,0.365,0.705,0.515,0.0,4,0.389,-9.343,1,0.0337,112.035,4,0.803
3FCnUhO6ao6hFRgCLPkSUE,208466,False,Lucy In The Sky With Diamonds - Remastered,3,0.0469,0.311,0.325,0.0,2,0.139,-9.042,1,0.0283,65.09,1,0.668
5e8uc7f0v5jpY5SF1emxHl,168120,False,Getting Better - Remastered,4,0.313,0.632,0.471,5.08e-06,0,0.0712,-7.887,1,0.0348,121.672,4,0.764
3KL3p03M3EV7rGROFeXCnM,156826,False,Fixing A Hole - Remastered,5,0.382,0.469,0.507,0.0,0,0.0783,-8.917,0,0.0451,112.984,4,0.619
1Ipl1kvks5s6GKn6oqgzeY,215160,False,She's Leaving Home - Remastered,6,0.944,0.381,0.214,0.0,4,0.106,-11.629,1,0.0337,127.581,3,0.393
59pHZGDsoullvuO7LUQmpA,157533,False,Being For The Benefit Of Mr. Kite! - Remastered,7,0.338,0.526,0.413,0.0,0,0.0992,-9.865,1,0.0446,111.874,4,0.71
5uxGUVN5odlMcPKriOXuPv,304666,False,Within You Without You - Remastered,8,0.339,0.352,0.479,0.000353,6,0.486,-9.965,1,0.0338,126.166,4,0.354
4f4j8gR6Ae4FZSpthverm8,157666,False,When I'm Sixty Four - Remastered,9,0.625,0.704,0.241,2.8e-05,1,0.0868,-13.258,1,0.0476,140.411,4,0.661
3Fy0E4ABM3eWKFROMYiegs,162093,False,Lovely Rita - Remastered,10,0.0634,0.61,0.471,0.0,8,0.118,-9.151,0,0.0261,87.379,4,0.63
1oZi9oP0zXAfSzIjYRXsES,161226,False,Good Morning Good Morning - Remastered,11,0.0858,0.542,0.618,0.0,2,0.772,-8.876,1,0.139,121.849,3,0.93
68zCBdA54X87mH90ZdyOCP,79066,False,Sgt. Pepper's Lonely Hearts Club Band - Reprise / Remastered,12,0.0061,0.653,0.889,0.589,0,0.892,-8.006,1,0.0453,118.773,4,0.879
3ZFBeIyP41HhnALjxWy1pR,337413,False,A Day In The Life - Remastered,13,0.29,0.364,0.457,0.000106,4,0.922,-14.162,0,0.0675,163.219,4,0.175
2CQRYn5cTD2B9a1ONjhTN2,145800,False,Wouldn't It Be Nice - Digitally Remastered 96,1,0.725,0.396,0.686,1.04e-06,5,0.17,-5.607,1,0.0341,124.318,4,0.717
4fJtDPJ2NiLfFfZfu8HyYc,154960,False,You Still Believe In Me - Digitally Remastered 96,2,0.119,0.436,0.434,2.95e-06,11,0.183,-7.965,1,0.031,88.872,4,0.121
0VJZtH2OjNKskNegMVIzYR,150106,False,That's Not Me - 1996 Digital Remaster,3,0.565,0.598,0.553,6.76e-06,4,0.079,-7.473,1,0.0291,116.04,4,0.356
6gDRRyg6bSODdwbuUBupoU,174293,False,Don't Talk (Put Your Head On My Shoulder) - 1996 Digital Remaster,4,0.0985,0.117,0.243,0.00615,6,0.0934,-11.335,1,0.0353,85.94,3,0.102
2Bjic7K9fTNS8pYuMXq8Va,186306,False,I'm Waiting For The Day - Digitally Remastered 96,5,0.544,0.317,0.584,0.000725,4,0.144,-6.245,1,0.0386,166.209,4,0.681
3GsgJI1aBrvUtqX8f3MhKT,141226,False,Let's Go Away For Awhile - Digitally Remastered 96,6,0.254,0.279,0.31,0.806,2,0.101,-13.113,1,0.0253,87.872,3,0.0807
2ULL3VZf4WwBKO4vjwT7Bg,180133,False,Sloop John B - 1996 - Remaster,7,0.402,0.567,0.745,0.0,8,0.0873,-5.423,1,0.0264,125.575,4,0.903
6iGU74CwXuT4XVepjc9Emf,173040,False,God Only Knows - 1997 - Remaster,8,0.253,0.521,0.487,0.0,6,0.0579,-7.525,0,0.0299,117.072,4,0.483
5VsxBUyw0TRwVC7ja1CIBc,191293,False,I Know There's An Answer - Digitally Remastered 96,9,0.123,0.602,0.739,5.73e-05,10,0.228,-5.715,1,0.0272,116.668,4,0.569
3Ev5ATks540KaOFTjIH97S,175266,False,Here Today - Digitally Remastered 96,10,0.489,0.52,0.75,1.85e-06,9,0.106,-5.26,1,0.0438,121.082,4,0.652
4CuO8TINNqM3D7aUdNQ3zG,195533,False,I Just Wasn't Made For These Times - Digitally Remastered 96,11,0.513,0.22,0.581,0.0,10,0.168,-5.877,1,0.0374,186.427,4,0.445
6CcgkjU9891S2S4lHKXaYh,143440,False,Pet Sounds - Digitally Remastered 96,12,0.0837,0.628,0.768,0.816,0,0.0961,-6.406,0,0.0278,116.844,4,0.798
5RSQKtG1KNwrzFMEePpjt6,173933,False,"Caroline, No - 1996 Digital Remaster",13,0.775,0.402,0.426,6.12e-06,10,0.175,-9.662,0,0.0262,75.866,4,0.641
4ZSBGLE9j9buk6DXVSryBI,183560,False,Hang On To Your Ego,14,0.342,0.611,0.741,2.5e-06,10,0.253,-4.408,1,0.0285,115.628,4,0.506
2Gy7qnDwt8Z3MNxqat4CsK,153240,False,Wouldn't It Be Nice - 2000 - Remaster,15,0.718,0.392,0.629,3.76e-06,5,0.129,-7.056,1,0.0335,124.511,4,0.72
0SMo38XgNvaBTNKo7skEKt,156266,False,You Still Believe In Me - 1996 Digital Remaster,16,0.268,0.424,0.335,0.000563,11,0.132,-10.032,1,0.0281,88.465,4,0.208
0mmNp0RzyHH5Svf1j3pc0W,151426,False,That's Not Me - 1996 Digital Remaster,17,0.733,0.615,0.538,5.47e-05,11,0.0792,-8.488,1,0.0276,115.027,4,0.509
2DM11p648RhfSDY85d9ibj,178440,False,Don't Talk (Put Your Head On My Shoulder) - 1996 Digital Remaster,18,0.245,0.131,0.184,0.00735,6,0.0849,-11.84,1,0.0374,62.474,4,0.0674
2VQhc1Qo1pye020xrtOIVW,186760,False,I'm Waiting For The Day - 1996 Digital Remaster,19,0.469,0.343,0.495,0.00117,4,0.395,-9.317,1,0.037,166.633,4,0.544
699lerUa9A4Wfh9S3WJ4K5,144706,False,Let's Go Away For Awhile - 1996 Digital Remaster,20,0.118,0.33,0.242,0.73,11,0.0785,-16.537,0,0.027,87.452,3,0.086
6iS1qciFCYHM7vjY0pAKQC,179493,False,Sloop John B - 1996 Digital Remaster,21,0.14,0.616,0.689,0.0,8,0.0822,-6.514,1,0.0261,125.932,4,0.942
0ObrXLrfrqJUNc8RfmIBHP,174906,False,God Only Knows - 1996 Digital Remaster,22,0.154,0.438,0.461,0.0,9,0.0529,-9.338,1,0.0382,116.028,4,0.31
6JBYA8jfN3fjcD7RLgLNn1,198333,False,I Know There's An Answer - 1996 Digital Remaster,23,0.366,0.596,0.711,2.82e-05,10,0.111,-6.19,1,0.0287,115.564,4,0.73
1pVyxDpKpmgtgQaRdOGUdH,187360,False,Here Today - 1996 Digital Remaster,24,0.507,0.527,0.644,1.51e-05,11,0.223,-7.927,0,0.0381,121.256,4,0.608
1936vFNafyF15O6dqbpBYJ,201133,False,I Just Wasn't Made For These Times - 1996 Digital Remaster,25,0.446,0.212,0.568,0.0,10,0.0879,-7.466,1,0.0335,188.046,4,0.337
2Z0Rnba2lznzW2SeEvayPE,157666,False,Pet Sounds - 1996 Digital Remaster,26,0.102,0.616,0.709,0.818,3,0.352,-8.062,1,0.0409,115.958,4,0.459
7wIUUd3gcvZVXKhF6QVcFS,171933,False,"Caroline, No - 1996 Digital Remaster",27,0.762,0.379,0.376,3.54e-06,10,0.169,-10.734,0,0.0286,78.321,4,0.546
37ySfQ411eeAGzzjd6zsrT,158853,False,Taxman - Remastered,1,0.0101,0.469,0.596,0.0,7,0.321,-8.348,1,0.0749,133.586,4,0.783
77f3aNeabAbOaSB32Sd5QE,126533,False,Eleanor Rigby - Remastered,2,0.936,0.581,0.28,1.56e-05,4,0.305,-9.091,0,0.0381,137.831,4,0.813
3wAOX1N5M0ta3QNsokmhJV,180320,False,I'm Only Sleeping - Remastered,3,0.21,0.494,0.47,0.0,8,0.28,-9.599,0,0.0301,103.477,4,0.698
4meU26wATqPVl2nkxe0hT0,179826,False,Love You To - Remastered,4,0.7,0.391,0.593,0.000249,5,0.0829,-8.999,1,0.0413,123.986,4,0.707
1dCGa0fzXpCWvQbpuoe28D,144880,False,"Here, There And Everywhere - Remastered",5,0.921,0.29,0.247,0.00565,7,0.0917,-12.125,1,0.0383,165.361,4,0.36
0Dk6z7iOJzFYywJvxjNltW,158880,False,Yellow Submarine - Remastered,6,0.531,0.604,0.549,0.0,1,0.438,-9.873,1,0.0389,111.398,4,0.696
172a84PLYeceAzBoQN8Las,156040,False,She Said She Said - Remastered,7,0.103,0.329,0.678,0.168,3,0.843,-7.878,1,0.0344,106.476,4,0.672
4F3AOkGrVXF70PBEaRxm3u,129293,False,Good Day Sunshine - Remastered,8,0.719,0.77,0.496,0.0,11,0.123,-8.45,1,0.0468,117.331,3,0.571
6RdvhWyzCULNTHcMbAXwXK,120493,False,And Your Bird Can Sing - Remastered,9,0.0067,0.555,0.65,0.0491,4,0.236,-6.936,1,0.0282,132.59,4,0.966
19aATlcb67bbIdjcMA0rOa,119813,False,For No One - Remastered,10,0.783,0.483,0.351,0.0,1,0.115,-10.487,0,0.0278,81.208,4,0.713
4V6b5uSPeD9gOHIuTlMunV,134266,False,Doctor Robert - Remastered,11,0.164,0.394,0.64,0.139,4,0.153,-8.992,1,0.0488,164.626,4,0.574
3D2CmYxPJaJOUlbXulRfs8,147973,False,I Want To Tell You - Remastered,12,0.182,0.493,0.525,4.4e-06,9,0.148,-9.289,1,0.0315,127.492,4,0.449
2qcQSnkcOivjyAAVZoQDVh,149240,False,Got To Get You Into My Life - Remastered,13,0.42,0.521,0.524,9.27e-06,0,0.0838,-6.136,1,0.0302,136.679,4,0.711
0agoaPIy92gPZ6zRhqXarE,179546,False,Tomorrow Never Knows - Remastered,14,8.4e-05,0.38,0.829,0.00208,5,0.342,-6.105,1,0.0405,125.887,4,0.0534
3AhXZa8sUQht0UEdBJgpGc,369600,False,Like a Rolling Stone,1,0.729,0.483,0.721,0.0,0,0.189,-6.836,1,0.032,95.261,4,0.562
5JqsRFZYDtIK5Rgeuzd2Jv,356226,False,Tombstone Blues,2,0.408,0.504,0.808,0.0,11,0.316,-7.25,1,0.0584,123.866,4,0.653
2yaf46YMxA5y6bzmWUKgXC,245133,False,"It Takes a Lot to Laugh, It Takes a Train to Cry",3,0.772,0.493,0.579,8.06e-05,8,0.0759,-7.743,1,0.0319,93.353,4,0.475
6txGFpco4cfgG1sA1MxLCp,195693,False,From a Buick 6,4,0.756,0.287,0.72,3.41e-06,0,0.263,-6.231,1,0.0347,176.302,4,0.709
0f5N14nB8xi0p3o4BlVvbx,356706,False,Ballad of a Thin Man,5,0.695,0.473,0.574,0.0,11,0.509,-8.189,0,0.032,74.056,4,0.499
0c2DAekH6ZEnHhf8dM1leK,327466,False,Queen Jane Approximately,6,0.778,0.369,0.691,1.39e-05,0,0.327,-6.234,1,0.0387,104.371,4,0.382
6os5B6xjuke9YfBKH3tu1e,205826,False,Highway 61 Revisited,7,0.475,0.49,0.808,0.0,10,0.232,-6.725,1,0.0409,73.434,4,0.604
0V1771LhL3tG36pb55EZAH,327560,False,Just Like Tom Thumb's Blues,8,0.702,0.497,0.511,0.0,7,0.262,-8.318,1,0.0271,99.5,4,0.591
4n1ZGm3TxYmoYe1YR8cMus,681400,False,Desolation Row,9,0.673,0.432,0.605,0.0,4,0.129,-6.941,1,0.0306,109.227,4,0.647
02wfEb4PyvM4XvsqDNtqVm,148893,False,Drive My Car - Remastered,1,0.0173,0.754,0.571,0.0,2,0.3,-8.547,1,0.0421,122.463,4,0.82
4DE42oDol0KHxympBsaiYu,124693,False,Norwegian Wood (This Bird Has Flown) - Remastered,2,0.183,0.425,0.369,0.00126,4,0.112,-11.876,1,0.0379,176.625,3,0.65
3QbhVaulXxTyuAxHY3Pa5N,199960,False,You Won't See Me - Remastered,3,0.136,0.488,0.539,0.0,9,0.0538,-8.752,1,0.0304,115.941,4,0.473
1OpY6W5UY8xkfrnl3hlMJy,163693,False,Nowhere Man - Remastered,4,0.00797,0.534,0.624,0.0,4,0.128,-9.589,1,0.0462,121.402,4,0.687
1edvptWUXAV2EKAZ8RNiMz,138520,False,Think For Yourself - Remastered,5,0.0124,0.529,0.567,0.0,0,0.0729,-9.796,1,0.0282,130.544,4,0.799
0n67BsXsRpWzajcqPTrgke,163106,False,The Word - Remastered,6,0.00682,0.59,0.641,0.0,0,0.0553,-9.687,1,0.0416,120.773,4,0.792
0yZEKwCNhkyaqk1ZyCZU7A,162373,False,Michelle - Remastered,7,0.652,0.578,0.29,0.0,5,0.105,-12.501,0,0.0341,117.403,4,0.666
7i3x0lqdj6LdkWCE33MBon,168573,False,What Goes On - Remastered,8,0.0168,0.67,0.776,3.01e-06,4,0.0732,-10.035,1,0.0749,96.93,4,0.765
19lAT1lAVe4HzFkVNFHGen,151720,False,Girl - Remastered,9,0.587,0.699,0.294,0.0,5,0.117,-13.205,0,0.0294,96.615,4,0.893
6BzNvvSyF2Fe0BqsOcL8LS,146386,False,I'm Looking Through You - Remastered,10,0.00772,0.667,0.498,0.0,1,0.0481,-11.027,1,0.0364,85.843,4,0.774
5QqdvVeYLL1xvZ1ndUjxnO,146333,False,In My Life - Remastered,11,0.449,0.688,0.435,0.0,9,0.113,-11.359,1,0.0323,103.239,4,0.435
3JCpW3mYXVvJ9wqkhGoJ60,134720,False,Wait - Remastered,12,0.0175,0.552,0.487,0.0,6,0.105,-10.574,0,0.04,127.201,4,0.657
4zW6e0BWJxk69mpa0KohDt,142266,False,If I Needed Someone - Remastered,13,0.00748,0.492,0.755,0.0,9,0.102,-9.273,1,0.0331,127.387,4,0.796
3QXSxAD6tIvpHd6qnLMmzI,141093,False,Run For Your Life - Remastered,14,0.0103,0.563,0.705,0.0,2,0.0552,-9.232,1,0.103,176.732,4,0.822
7av4raprzW2bWdjyAaH3hz,232600,False,What's Going On,1,0.105,0.245,0.833,0.0,1,0.359,-5.555,0,0.116,205.375,4,0.805
3xCE7IebQTcFecIX1kyKPx,163413,False,What's Happening Brother,2,0.363,0.469,0.781,0.0226,8,0.244,-7.172,1,0.0377,98.236,4,0.771
32i7g9xSxP56q7puTRg4hh,229160,False,Flyin' High (In The Friendly Sky),3,0.755,0.435,0.507,0.000545,7,0.258,-8.16,0,0.0292,109.526,4,0.588
5ZtOaFnwB7x3PcxK26C6ja,242586,False,Save The Children,4,0.52,0.301,0.684,7.76e-06,9,0.555,-6.952,0,0.0433,104.942,3,0.642
3qdc58psYBqqPusnhDySiC,101586,False,God Is Love,5,0.617,0.548,0.918,0.0,3,0.655,-5.666,1,0.111,99.179,4,0.677
0P0XtIqjMv1zMSsX76mhY8,196506,False,Mercy Mercy Me (The Ecology),6,0.131,0.492,0.774,0.379,6,0.0833,-8.176,0,0.0416,93.435,4,0.46
1l4C6KIH72IxZBedfrOGWg,451080,False,Right On,7,0.127,0.506,0.711,0.0122,0,0.406,-6.734,1,0.0293,113.774,4,0.552
44nzrfB5eq45zMoYaWa5KW,187586,False,Wholy Holy,8,0.135,0.26,0.385,2.22e-05,0,0.162,-9.891,1,0.0319,68.935,4,0.0796
3i5DWfyMJOKCtspfyotWJD,331960,False,Inner City Blues (Make Me Wanna Holler),9,0.729,0.648,0.612,0.186,11,0.0782,-9.106,1,0.034,94.231,4,0.659
0avbV5SXlq52fqywz1GX9b,226133,False,What's Going On - Original Single Mix,10,0.322,0.466,0.634,0.0045,1,0.0895,-8.597,0,0.162,203.079,4,0.881
1oPwIXTq0Tvm2ziEn1SAp6,285400,False,Head Title aka Distant Lover - Demo Version,11,0.315,0.516,0.518,0.00164,4,0.147,-7.681,1,0.0309,141.802,3,0.625
1s7WRaIXizQdwNoUJFoHOx,169066,False,Symphony - Demo Version,12,0.153,0.559,0.876,7.83e-05,0,0.852,-4.72,1,0.0603,158.827,4,0.772
6Pf2XloNuxDjonWxB2Fmzl,147093,False,I Love The Ground You Walk On - Instrumental,13,0.54,0.347,0.492,0.459,3,0.24,-13.708,1,0.0821,178.081,3,0.78
1xPhC6gOdeo2cc6mCD1z6L,234000,False,What's Going On - Mono Single Version,14,0.308,0.565,0.815,0.000542,1,0.172,-7.3,0,0.0665,101.491,4,0.853
7x5mYKJxLX1NXCnrouNyRO,171493,False,God Is Love - Mono Single Version,15,0.487,0.292,0.575,0.0,2,0.315,-6.622,1,0.0307,85.987,4,0.759
3gUDYCsn9cqZrr7Qmj1r3u,150040,False,Mercy Mercy Me (The Ecology) - Single Version (Mono),16,0.252,0.549,0.766,0.00772,6,0.448,-7.556,0,0.0461,93.374,4,0.791
3XqrA4FvrSGbzEs9L1NmoU,143266,False,Sad Tomorrows - Mono Single Version,17,0.928,0.273,0.569,2.26e-06,2,0.215,-6.725,0,0.0435,207.025,3,0.491
1yBK3D08b6PWjmYFvG2MeH,178346,False,Inner City Blues (Make Me Wanna Holler) - Mono Single Version,18,0.763,0.67,0.525,0.0312,10,0.117,-9.962,0,0.0315,93.375,4,0.811
1azUH8GzcHQHg2J4iZk8uV,188813,False,Wholy Holy - Mono Single Version,19,0.133,0.27,0.41,2.05e-06,0,0.0923,-7.948,1,0.0325,115.675,1,0.113
3KirTL48oqct9wSRYxpnIB,291280,False,Checking Out (Double Clutch),1,0.24,0.712,0.667,0.226,0,0.105,-9.736,0,0.0452,98.304,4,0.777
4f5J3jeujnt31VjZ035SXf,174093,False,Chained,2,0.088,0.756,0.577,0.911,9,0.141,-10.403,0,0.0458,94.422,4,0.893
45oLxnT9QQp1Gy8vV7w5XX,115666,False,Country Stud,3,0.0282,0.682,0.469,0.924,9,0.111,-12.435,1,0.0915,151.39,4,0.823
1LBolebAMDJuoy4U4hpg9z,135760,False,Help The People,4,0.0287,0.576,0.701,0.719,0,0.125,-11.521,1,0.0567,93.148,4,0.851
4zigIoZ6xnYIGLTZcCIOvV,186786,False,Running From Love - Version 1,5,0.225,0.801,0.62,0.884,2,0.279,-10.605,1,0.0396,103.061,4,0.917
7IZGS05ws7zKVLgMf2e1w3,123973,False,Daybreak,6,0.0456,0.677,0.8,0.801,7,0.268,-9.709,0,0.0392,132.414,4,0.794
4HcK8oJd8PbPCwE4sKeEfd,124480,False,Doing My Thing,7,0.00581,0.701,0.814,0.835,5,0.0941,-11.261,1,0.0394,96.355,4,0.952
3DVWZz1Pmv9XUNm22ciXbO,158413,False,"""T"" Stands For Time",8,0.82,0.687,0.136,0.642,7,0.32,-16.272,0,0.325,129.98,4,0.452
5mZPteiMXmdi14jGca7LCS,187066,False,Jesus Is Our Love Song,9,0.128,0.596,0.339,0.903,2,0.202,-13.102,0,0.0304,78.642,4,0.583
107jpmdQoAT5Kf16qYsd4y,182160,False,Funky Nation,10,0.727,0.577,0.427,0.48,9,0.0661,-12.504,0,0.0519,96.406,4,0.441
23h925xfLvTOAKqL0gIo8W,159253,False,Infinity,11,0.0269,0.383,0.527,0.765,0,0.0825,-15.162,0,0.0533,187.696,4,0.767
06DGf6Id46UX8DXGiELol8,204853,False,Mandota,12,0.413,0.637,0.341,0.855,0,0.124,-12.513,0,0.0385,108.693,4,0.395
4YAN67IgeutW1R12gHVZf8,227133,False,Struttin' The Blues,13,0.409,0.575,0.352,0.751,2,0.183,-15.531,1,0.183,195.669,4,0.59
3675XK31M2niwobzG0odBt,305400,False,Running From Love - Version 2 (with strings),14,0.0649,0.669,0.303,0.909,11,0.102,-14.844,0,0.0326,87.823,4,0.86
0NofClxlUZ44nZraGPF3lz,278253,False,I'm Going Home (Move),15,0.688,0.517,0.614,0.00045,4,0.128,-8.546,0,0.18,177.239,4,0.804
22JFV0yHYdcURkfSIT71ZD,345760,False,You're The Man - Pts. I & II - Original Mono Single Version,16,0.742,0.646,0.741,0.00161,10,0.115,-9.456,0,0.0795,92.344,4,0.932
2ZDACXty678OdOfza37lKM,441733,False,You're The Man - Alternate Version 1,17,0.404,0.512,0.699,0.00569,1,0.169,-9.059,1,0.112,185.128,4,0.785
2LsZvcdw42PBpGUfSHnLQD,280253,False,You're The Man - Alternate Version 2,18,0.0414,0.672,0.66,1.13e-06,9,0.0892,-9.0,1,0.038,101.396,4,0.859
3OO78drivkiHSWVBD14HyY,247840,False,What's Going On - Detroit Mix,1,0.157,0.552,0.75,0.00135,1,0.727,-9.788,0,0.126,101.719,4,0.852
1kBIGiZ3sPrnj47IG6z79t,163146,False,What's Happening Brother - Detroit Mix,2,0.496,0.527,0.794,0.00339,8,0.214,-10.941,1,0.186,97.846,4,0.541
5ol1qMoKr6LIib5PNA180F,228693,False,Flyin' High (In The Friendly Sky) - Detroit Mix,3,0.931,0.539,0.454,0.215,2,0.134,-12.968,0,0.0314,109.914,3,0.787
1z6CqMhWlITFe3FaEccNUJ,241626,False,Save The Children - Detroit Mix,4,0.474,0.35,0.655,0.074,9,0.564,-10.364,0,0.0454,107.706,3,0.663
3lhwDH8AL75EoUXuP4Jxku,106733,False,God Is Love - Detroit Mix,5,0.528,0.413,0.837,0.000634,5,0.657,-11.253,0,0.732,199.501,4,0.588
7pi4Ot1fhkyow92GOBHQWl,187773,False,Mercy Mercy Me (The Ecology) - Detroit Mix,6,0.708,0.449,0.615,0.832,6,0.13,-11.915,0,0.0459,188.065,4,0.675
66xfLQR1Xy8WWaMdNqNTmL,451520,False,Right On - Detroit Mix,7,0.361,0.595,0.603,0.131,2,0.204,-10.102,0,0.0396,113.607,4,0.664
5EAIyJwuaQ9tRmR2VZjbIO,189320,False,Wholy Holy - Detroit Mix,8,0.82,0.335,0.215,5.89e-05,0,0.173,-13.102,1,0.0317,96.345,4,0.186
72iAofv8Az52dkP3ccRZY6,334173,False,Inner City Blues (Make Me Wanna Holler) - Detroit MIx,9,0.806,0.692,0.655,0.602,8,0.15,-10.546,0,0.0466,94.132,4,0.851
7hjeKMQBAXgskPJrXwPXgr,271933,True,Rocks Off,1,0.0639,0.485,0.943,0.179,4,0.144,-4.423,1,0.0416,141.982,4,0.889
1u7kaNLb56X8kquJcr45kf,143293,False,Rip This Joint,2,0.118,0.548,0.952,0.837,2,0.301,-2.958,1,0.0422,98.04,4,0.906
38jmI8GCXdgg1W8bPGodQZ,179000,False,Shake Your Hips,3,0.69,0.374,0.787,0.831,2,0.203,-7.054,1,0.0617,180.496,4,0.763
5tZQo6KJEHfiLEoQX8QiUq,214466,False,Casino Boogie,4,0.374,0.53,0.691,0.111,2,0.29,-5.409,1,0.0307,117.046,4,0.581
5RRCU0kcL0EecW39iDFwna,226333,False,Tumbling Dice,5,0.5,0.615,0.91,0.511,11,0.281,-4.248,1,0.0347,111.013,4,0.77
5NkKWkbC8vauzsCoBuAoYz,266560,False,Sweet Virginia,6,0.502,0.477,0.74,1.31e-06,9,0.263,-5.397,1,0.0446,107.384,4,0.56
6cqxYZNI8RXM1Q1jMWHpMf,257240,False,Torn And Frayed,7,0.664,0.454,0.766,0.904,2,0.594,-3.862,1,0.0272,90.677,4,0.776
73tWofG6ygoppl9arnI7mR,177666,False,Sweet Black Angel,8,0.65,0.498,0.728,0.000172,7,0.114,-7.387,1,0.0373,174.33,4,0.609
0MYgkwQXAyg67VS8hURxP8,264266,False,Loving Cup,9,0.636,0.471,0.843,0.0402,7,0.773,-5.702,1,0.041,156.695,4,0.632
1IRc0Va0Nt1BZ1SJ8B6bi3,184626,False,Happy,10,0.361,0.555,0.897,0.94,4,0.536,-3.469,1,0.0293,131.712,4,0.965
4w6uhEvzYHaBo5GyS4XKrI,157173,False,Turd On The Run,11,0.65,0.517,0.781,0.977,2,0.341,-6.33,1,0.0405,119.364,4,0.742
2lXuajzOYvjAZzWB7RjbS6,204573,False,Ventilator Blues,12,0.6,0.618,0.678,0.723,0,0.501,-5.199,1,0.0316,133.453,4,0.79
0LTAnMZ1GCZn7tFnVIwA7d,172626,False,I Just Want To See His Face,13,0.689,0.654,0.542,0.584,0,0.204,-14.696,1,0.0419,78.015,4,0.877
2XYILpLJn3AgwIgYMllW4p,317173,False,Let It Loose,14,0.869,0.352,0.656,0.8,5,0.221,-5.721,1,0.0289,76.121,4,0.363
6r21OUySUh2NOUgHAGxWoA,229493,False,All Down The Line,15,0.39,0.519,0.973,0.978,7,0.784,-3.044,1,0.0562,140.221,4,0.822
22VhuVeQipRRexJHjaKvO4,274773,False,Stop Breaking Down,16,0.509,0.522,0.891,0.908,9,0.111,-4.085,1,0.0322,104.411,4,0.91
6z0htqI8NXKDJRkFMLawJt,256826,False,Shine A Light,17,0.522,0.365,0.839,0.000469,0,0.292,-5.148,1,0.0691,81.772,4,0.575
3QV1EkmiL2xSRryvL6Tpdq,228840,False,Soul Survivor,18,0.183,0.337,0.919,0.186,5,0.286,-3.94,1,0.0431,114.748,4,0.525
3U1OWHEl0nqAIj857yxhy5,294466,False,Pass The Wine (Sophia Loren),1,0.101,0.598,0.804,0.0783,9,0.256,-6.094,1,0.0703,125.439,4,0.919
6rcL4wvmJ36L6o4FKUTnWK,238866,False,Plundered My Soul,2,0.363,0.257,0.869,1.09e-05,9,0.45,-4.268,1,0.0389,201.97,4,0.731
0pw0JM0NphvAOyqqkIeJ2r,235226,False,I'm Not Signifying,3,0.545,0.355,0.603,0.00231,2,0.0903,-5.566,1,0.032,78.063,4,0.645
4vcag14xhbbTNP6HqQ5xsy,291693,False,Following The River,4,0.724,0.292,0.512,8.2e-05,7,0.159,-5.844,1,0.0275,141.411,4,0.25
5tklr7onubRHNjsHfphiRv,261506,False,Dancing In The Light,5,0.0274,0.38,0.945,2.18e-05,7,0.234,-3.398,1,0.0449,83.552,4,0.845
1L5RPwZ1S1Mcw9GOHYlx26,271666,False,So Divine (Aladdin Story),6,0.00746,0.265,0.885,0.00177,0,0.471,-4.413,1,0.0348,174.766,4,0.805
3Qj0E6up05ub4jlegYYbpW,325600,False,Loving Cup - Alternate Take,7,0.184,0.304,0.829,4.51e-05,0,0.326,-4.843,1,0.0624,152.021,4,0.476
7fHYoBwfXiIgACiVmWROnR,238866,False,Soul Survivor - Alternate Take,8,0.0517,0.319,0.888,0.0199,5,0.202,-4.9,1,0.0353,115.509,4,0.615
6Kj52J3LbmUHKCjowZqDaK,201466,False,Good Time Women,9,0.0546,0.394,0.956,6.58e-06,7,0.328,-4.424,1,0.0477,122.963,4,0.917
7KFhihm1PFtVE3YjvGBbug,107426,False,Title 5,10,0.473,0.466,0.831,0.831,9,0.322,-7.849,1,0.0343,95.548,4,0.885
5jzma6gCzYtKB1DbEwFZKH,200480,False,London Calling - Remastered,1,0.123,0.651,0.801,0.0,0,0.0825,-7.34,1,0.0513,133.763,4,0.776
7FYkZkF9fog6WS818wJnhl,128266,False,Brand New Cadillac,2,0.0196,0.52,0.906,7.96e-05,9,0.0925,-6.534,1,0.0601,151.606,4,0.868
06JxwPA4WAg0LWADJtaldL,234333,False,Jimmy Jazz,3,0.00554,0.528,0.397,3.64e-06,9,0.43,-12.024,1,0.0927,128.414,4,0.579
2FNsNZjUQg3bhx5dWW0pRs,163933,False,Hateful,4,0.0119,0.595,0.86,0.0,7,0.482,-6.723,1,0.0524,114.112,4,0.673
4W9zZsQKsqikYbKM9vcN5Q,208866,False,Rudie Can't Fail,5,0.00312,0.636,0.684,0.0,6,0.0402,-9.37,0,0.0594,96.988,4,0.684
6wtmql7FJ7SSLuSw8JD8rX,198866,False,Spanish Bombs,6,0.0459,0.609,0.798,0.0,11,0.21,-7.902,0,0.0345,149.047,4,0.77
33GXePBlErinst4NjAvWuc,234600,False,The Right Profile,7,0.0605,0.555,0.806,0.0,11,0.183,-7.534,1,0.075,140.679,4,0.818
